#,Destination,Location,ExpReward,SurveyDurationmin,X,Y,Z,Map,Stars,RankReq,CeruleumTankReq,SurveyDistance,StartingPoint,NameCN
22,the Rimilala Shelf (V),V,374020,900,555,225,600,1,5,44,6,16,False,利米拉拉海沟大倾斜 V
23,deep-sea site 7 (W),W,374020,900,710,370,300,1,5,44,6,16,False,溺没海7 W
24,Glittersand Basin (X),X,406590,960,900,355,800,1,5,47,6,16,False,辉砂海盆 X
25,Flickering Dip (Y),Y,406590,960,210,90,100,1,5,47,6,16,False,残照白谷 Y
26,the Wreckage of the *Headway* (Z),Z,440990,1020,430,100,1000,1,5,50,6,17,False,前进号的残骸 Z
27,the Upwell (AA),AA,440990,1020,830,210,800,1,5,50,6,17,False,变理海域 AA
28,the Rimilala Trench Bottom (AB),AB,440990,1020,750,90,1000,1,5,50,6,17,False,利米拉拉海沟最深部 AB
29,stone temple (AC),AC,440990,1020,895,100,1000,1,5,50,6,17,False,石造寺院遗址 AC
30,sunken vault (AD),AD,440990,1020,595,100,800,1,5,50,6,17,False,古代宝物库 AD
31,,,0,0,483,927,0,2,0,0,0,0,True,0
32,South Isle of Zozonan (A),A,440990,480,290,750,100,2,1,50,6,12,False,佐佐纳恩岛南端 A
33,Wreckage of the *Windwalker* (B),B,440990,480,150,840,100,2,1,50,6,12,False,风行者的残骸 B
34,North Isle of Zozonan (C),C,480270,540,280,570,100,2,2,54,6,13,False,佐佐纳恩岛北端 C
35,Sea of Ash 1 (D),D,480270,540,430,660,300,2,2,54,6,13,False,灰海1 D
36,the Southern Charnel Trench (E),E,522300,600,590,750,600,2,2,57,6,14,False,火葬炉海沟南端 E
37,Sea of Ash 2 (F),F,522300,600,180,440,300,2,2,57,6,14,False,灰海2 F
38,Sea of Ash 3 (G),G,548410,660,350,480,300,2,3,60,6,15,False,灰海3 G
39,Ascetic's Demise (H),H,548410,660,340,330,600,2,3,60,6,15,False,修道士墓碑 H
40,the Central Charnel Trench (I),I,548410,660,500,580,600,2,3,60,6,15,False,火葬炉海沟中部 I
41,the Catacombs of the Father (J),J,548410,660,460,420,600,2,3,60,6,15,False,神父的岩窟 J
42,Sea of Ash 4 (K),K,548410,660,140,310,300,2,3,60,6,15,False,灰海4 K
43,the Midden Pit (L),L,595020,720,440,200,600,2,4,63,6,16,False,沙砾海盆 L
44,the Lone Glove (M),M,595020,720,820,550,100,2,4,63,6,16,False,单只手套岛 M
45,Coldtoe Isle (N),N,645590,780,870,400,100,2,4,65,6,17,False,破洞袜子岛 N
46,Smuggler's Knot (O),O,645590,780,760,660,300,2,4,65,6,17,False,走私客的交易场 O
47,the Open Robe (P),P,645590,780,584,195,100,2,4,65,6,20,False,磨破袍子岛 P
48,Nald'thal's Pipe (Q),Q,661730,800,761,885,600,2,4,66,6,20,False,商贸神的烟管 Q
49,the Slipped Anchor (R),R,678274,820,818,145,400,2,5,67,6,21,False,走锚海域 R
50,Glutton's Belly (S),S,712612,860,680,285,300,2,5,69,6,21,False,贪婪胃 S
51,the Blue Hole (T),T,730428,880,168,140,600,2,5,70,6,22,False,蓝洞 T
52,,,0,0,64,591,0,3,0,0,0,0,True,0
53,the Isle of Sacrament (A),A,730428,880,199,455,100,3,1,70,6,22,False,祭坛岛 A
54,the Kraken's Tomb (B),B,730428,880,246,703,1000,3,1,70,6,22,False,章鱼的陶罐 B
55,Sea of Jade 1 (C),C,730428,880,261,289,400,3,1,70,6,22,False,翠浪海1 C
56,Rogo-Tumu-Here's Haunt (D),D,767407,900,101,203,1000,3,1,72,6,23,False,恶魔章鱼的狩猎场 D
57,the Stone Barbs (E),E,767407,900,474,89,700,3,1,72,6,23,False,吸盘礁 E
58,Rogo-Tumu-Here's Repose (F),F,786593,920,214,98,1000,3,1,73,6,24,False,恶魔章鱼的储藏室 F
59,Tangaroa's Prow (G),G,806258,930,689,253,500,3,1,74,6,24,False,海神的钓钩 G
60,Sea of Jade 2 (H),H,826415,940,676,76,400,3,2,75,6,25,False,翠浪海2 H
61,the Blind Sound (I),I,826415,940,842,186,200,3,2,75,6,25,False,盲目峡湾 I
62,Sea of Jade 3 (J),J,826415,940,723,387,300,3,2,75,6,25,False,翠浪海3 J
63,Moergynn's Forge (K),K,847076,950,855,96,500,3,2,76,6,26,False,穆厄吉恩的锻铁厂 K
64,Tangaroa's Beacon (L),L,889960,960,889,305,100,3,3,78,6,28,False,海神的浮标 L
65,Sea of Jade 4 (M),M,935015,980,659,637,300,3,3,80,6,30,False,翠浪海4 M
66,the Forest of Kelp (N),N,958391,1000,626,805,500,3,3,81,6,31,False,海藻树林 N
67,Sea of Jade 5 (O),O,1006910,1040,938,188,600,3,4,83,6,32,False,翠浪海5 O
68,Bladefall Chasm (P),P,1057886,1080,481,918,100,3,4,85,6,33,False,钝刀切岸 P
69,Stormport (Q),Q,1111443,1120,889,445,500,3,5,87,6,34,False,驻风港 Q
70,Wyrm's Rest (R),R,1139230,1140,736,764,600,3,5,88,6,35,False,龙骨冢 R
71,Sea of Jade 6 (S),S,1167711,1160,852,617,1000,3,5,89,6,36,False,翠浪海6 S
72,the Devil's Crypt (T),T,1751567,1180,832,888,1000,3,5,90,6,37,False,海兽的墓地 T
73,,,0,0,177,927,0,4,0,0,0,0,True,0
74,Mastbound's Bounty (A),A,1751567,1180,201,748,200,4,1,90,6,37,False,耳蜡渔场 A
75,Sirensong Sea 1 (B),B,1751567,1180,427,704,700,4,1,90,6,37,False,妖歌海1 B
76,Sirensong Sea 2 (C),C,1751567,1180,340,532,300,4,1,90,6,37,False,妖歌海2 C
77,Anthemoessa (D),D,1926724,1190,447,253,200,4,1,91,6,38,False,花丛岛 D
78,Magos Trench (E),E,2119397,1210,583,593,800,4,1,92,6,39,False,海魔之口 E
79,Thrall's Unrest (F),F,2331337,1220,687,644,400,4,2,93,6,40,False,漂流海域 F
80,Crow's Drop (G),G,2820919,1250,66,383,900,4,2,95,6,41,False,告死礁 G
81,Sirensong Sea 3 (H),H,3074802,1270,352,118,500,4,3,96,6,42,False,妖歌海3 H
82,the Anthemoessa Undertow (I),I,3074802,1270,557,183,800,4,3,96,6,42,False,花丛潜流 I
83,Sirensong Sea 4 (J),J,3351535,1280,738,555,400,4,3,97,6,42,False,妖歌海4 J
84,Seafoam Tide (K),K,3653174,1300,802,436,800,4,3,98,6,43,False,涡纹海峡 K
85,the Beak (L),L,3981960,1310,620,806,300,4,4,99,6,44,False,鸟嘴湾 L
86,Seafarer's End (M),M,4340337,1330,136,138,1000,4,4,100,6,44,False,海魔牢狱 M
87,Drifter's Decay (N),N,4687564,1340,533,68,100,4,4,101,6,45,False,废弃流放岛 N
88,Lugat's Landing (O),O,4687564,1340,885,400,400,4,4,101,6,45,False,卢加特海滩 O
89,the Frozen Spring (P),P,5062570,1360,502,899,200,4,5,102,6,46,False,积冰泉 P
90,Sirensong Sea 5 (Q),Q,5467576,1370,873,106,1000,4,5,103,6,47,False,妖歌海5 Q
91,Tidewind Isle (R),R,5904983,1390,678,289,0,4,5,104,6,47,False,涡纹岛 R
92,Bloodbreak (S),S,6377382,1400,937,651,1000,4,5,105,6,48,False,赤血海丘 S
93,the Crystal Font (T),T,6377382,1400,747,901,200,4,5,105,6,48,False,海晶泉 T
94,,,0,0,49,928,0,5,0,0,0,0,True,0
95,Weeping Trellis (A),A,6377382,1400,177,858,600,5,1,105,6,48,False,垂藤架 A
96,the Forsaken Isle (B),B,6377382,1400,189,713,100,5,1,105,6,48,False,白化珊瑚岛 B
97,Fortune's Ford (C),C,6377382,1400,494,744,300,5,1,105,6,48,False,候鸟的浅滩 C
98,Lilac Sea 1 (D),D,6536817,1420,90,514,300,5,1,106,6,48,False,紫礁海1 D
99,Runners' Reach (E),E,6700238,1430,545,898,100,5,1,107,6,48,False,海鸥岛 E
100,Bellflower Flood (F),F,6867744,1450,366,534,1000,5,2,108,6,49,False,桔梗海沟中央 F
101,Lilac Sea 2 (G),G,7215424,1480,741,797,300,5,2,110,6,49,False,紫礁海2 G
102,Lilac Sea 3 (H),H,7395810,1490,901,898,300,5,3,111,6,50,False,紫礁海3 H
103,northwest Bellflower (I),I,7580706,1510,174,394,1000,5,3,112,6,50,False,桔梗海沟西北 I
104,Corolla Isle (J),J,7770224,1520,533,457,100,5,3,113,6,50,False,花冠岛 J
105,southeast Bellflower (K),K,7964480,1540,646,677,1000,5,3,114,6,50,False,桔梗海沟东南 K
106,the floral reef (L),L,8163592,1550,562,320,600,5,4,115,6,51,False,盛放礁湖 L
107,Wingsreach (M),M,8163592,1550,806,570,100,5,4,115,6,51,False,翼瓣岛 M
108,the Floating Standard (N),N,8367682,1570,690,212,100,5,4,116,6,51,False,旗瓣岛 N
109,the Fluttering Bay (O),O,8576875,1580,737,433,600,5,4,117,6,51,False,蝴蝶圆湾 O
110,Lilac Sea 4 (P),P,8791297,1600,62,88,600,5,5,118,6,52,False,紫礁海4 P
111,Proudkeel (Q),Q,9011080,1610,374,296,100,5,5,119,6,52,False,龙骨瓣岛 Q
112,east Dodie's Abyss (R),R,9011080,1610,922,340,1000,5,5,119,6,52,False,多迪海底峡谷东 R
113,Lilac Sea 5 (S),S,9236357,1630,804,64,1000,5,5,120,6,52,False,紫礁海5 S
114,west Dodie's Abyss (T),T,9236357,1630,485,62,1000,5,5,120,6,52,False,多迪海底峡谷西 T
115,,,0,0,934,60,0,6,0,0,0,0,True,0
116,the Indigo Shallows (A),A,9236357,1630,822,159,100,6,1,120,6,52,False,苍茫浅滩 A
117,Voyagers' Reprieve (B),B,9236357,1630,661,378,0,6,1,120,6,52,False,探险家的中继基地 B
118,north Delphinium Seashelf (C),C,9236357,1630,624,168,400,6,1,120,6,52,False,绀色海底陆架北 C
119,Rainbringer Rift (D),D,9467266,1640,907,517,1000,6,1,121,6,52,False,起雨海底谷 D
120,south Indigo Deep 1 (E),E,9703948,1660,431,86,700,6,1,122,6,52,False,南苍茫洋1 E
121,the Central Blue (F),F,9946547,1670,480,438,800,6,2,123,6,53,False,碧蓝海心 F
122,south Indigo Deep 2 (G),G,10450092,1700,393,257,700,6,2,125,6,53,False,南苍茫洋2 G
123,the Talon (H),H,10711345,1720,286,364,0,6,3,126,6,54,False,钩爪岛 H
124,southern Central Blue (I),I,10979129,1730,508,600,500,6,3,127,6,54,False,碧蓝海心南 I
125,south Indigo Deep 3 (J),J,11253608,1750,85,93,500,6,3,128,6,54,False,南苍茫洋3 J
126,the Talonspoint Depths (K),K,11534949,1760,76,316,700,6,3,129,6,54,False,钩爪岛近海 K
127,Saltfarer's Eye (L),L,11823323,1780,728,764,100,6,4,130,6,55,False,碧眼岛 L
128,Startail shallows (M),M,11823323,1780,331,660,400,6,4,130,6,55,False,星痕水道浅部 M
129,Moonshadow Isle (N),N,12118907,1790,206,650,0,6,4,131,6,55,False,月缺岛 N
130,Emerald Drop (O),O,12421880,1810,895,919,1000,6,4,132,6,55,False,绿宝石渊 O
131,south Indigo Deep 4 (P),P,12732427,1820,86,494,800,6,5,133,6,56,False,南苍茫洋4 P
132,south Delphinium Seashelf (Q),Q,13050738,1840,461,816,800,6,5,134,6,56,False,绀色海底陆架南 Q
133,Startail shelf (R),R,13050738,1840,196,810,900,6,5,134,6,56,False,星痕水道中部 R
134,Cradle of the Winds (S),S,13377007,1850,520,926,1000,6,5,135,6,56,False,起风海底谷 S
135,Startail Trench (T),T,13377007,1850,88,927,1000,6,5,135,6,56,False,星痕水道深部 T
136,,,0,0,933,940,0,7,0,0,0,0,True,0
137,eastern Blackblood Wells (A),A,13377007,1850,883,870,500,7,1,135,6,56,False,黑血域东 A
138,Sea Wolf Cove (B),B,13377007,1850,907,579,1000,7,1,135,6,56,False,海狼港 B
139,southernmost Hanthbyrt (C),C,13377007,1850,803,779,0,7,1,135,6,56,False,手斧岛南端 C
140,Oeyaseik (D),D,13711433,1870,727,634,400,7,1,136,6,56,False,眼湖 D
141,northeast Hanthbyrt (E),E,14054219,1880,850,360,0,7,1,137,6,56,False,手斧岛东北 E
142,Vyrstrant (F),F,14405575,1900,551,645,600,7,2,138,6,58,False,欢庆海岸 F
143,the Sunken Jawbone (G),G,15134858,1930,472,432,600,7,2,140,6,58,False,尖牙角远岸 G
144,the Vyrstrant Dropoff (H),H,15513230,1940,354,580,1000,7,3,141,6,59,False,欢庆远岸 H
145,Axeblade Bight (I),I,15901061,1960,641,313,1000,7,3,142,6,59,False,斧槽湾 I
146,the Puffin Assembly (J),J,16298588,1970,495,156,0,7,3,143,6,59,False,海鹦筑巢地 J
147,southern Aerslaent Plunge (K),K,16706053,1990,400,821,1000,7,3,144,6,59,False,原初海沟南部 K
148,the Solkronn Gallery (L),L,17123705,2000,659,149,1000,7,4,145,6,60,False,祝福海潮回廊 L
149,central Den of the Greatsword (M),M,17123705,2000,326,383,1000,7,4,145,6,60,False,海狼的斩痕中央 M
150,,,0,0,0,0,0,0,0,0,0,0,False,
151,,,0,0,0,0,0,0,0,0,0,0,False,
152,,,0,0,0,0,0,0,0,0,0,0,False,
153,,,0,0,0,0,0,0,0,0,0,0,False,
154,,,0,0,0,0,0,0,0,0,0,0,False,
155,,,0,0,0,0,0,0,0,0,0,0,False,
156,,,0,0,0,0,0,0,0,0,0,0,False,
157,,,0,0,0,0,0,0,0,0,0,0,False,
158,,,0,0,0,0,0,0,0,0,0,0,False,
159,,,0,0,0,0,0,0,0,0,0,0,False,
